"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"81",0.05,18,0,0.75,2,0.5,200,0.827634926533129,0.639255472116546,0.0134106886664584,0.0277117006116454
"83",0.05,18,0,0.75,2,1,200,0.828525009349201,0.641274150234071,0.0118975184615027,0.0245582007085464
"85",0.05,18,0,1,0,0.5,200,0.832700232376772,0.649945169346528,0.0118755250508432,0.0246036524221931
"87",0.05,18,0,1,0,1,200,0.825240289479723,0.634697636213481,0.0131297118671957,0.0272096597835786
"89",0.05,18,0,1,1,0.5,200,0.831775961310064,0.648162047416881,0.0134079605225403,0.0276103857954786
"91",0.05,18,0,1,1,1,200,0.825273775933785,0.634585969837192,0.0129767094050216,0.0270474227625442
"93",0.05,18,0,1,2,0.5,200,0.830919855924273,0.646516275002482,0.0121586585436837,0.0252897654421318
"95",0.05,18,0,1,2,1,200,0.826266492620828,0.636571812640619,0.0124735623982935,0.0256903779811003
"97",0.05,18,0.01,0.75,0,0.5,200,0.828492402143001,0.640936860951406,0.0125793901774968,0.0258891925394969
"99",0.05,18,0.01,0.75,0,1,200,0.826985950594625,0.637531859805028,0.0135758094492846,0.0282487190392562
"101",0.05,18,0.01,0.75,1,0.5,200,0.828559794527354,0.641127385754142,0.0120338644060999,0.0252000105410658
"103",0.05,18,0.01,0.75,1,1,200,0.828079757229034,0.640317179628877,0.013535265266077,0.0282000533467545
"105",0.05,18,0.01,0.75,2,0.5,200,0.826506054564702,0.636915427619288,0.0125910327335361,0.0259872989520007
"107",0.05,18,0.01,0.75,2,1,200,0.828387414941121,0.640835511348168,0.0110404400426378,0.0230812498230233
"109",0.05,18,0.01,1,0,0.5,200,0.832940145904352,0.650365428772095,0.0119804139038231,0.0249232084863324
"111",0.05,18,0.01,1,0,1,200,0.825582310873552,0.635213295795567,0.0123368811196316,0.0256150979511614
"113",0.05,18,0.01,1,1,0.5,200,0.831605091629023,0.647858131930444,0.0128037662154044,0.0265465384337241
"115",0.05,18,0.01,1,1,1,200,0.82472722376739,0.633291022415068,0.0120781172557837,0.0249535442890899
"117",0.05,18,0.01,1,2,0.5,200,0.830578712984663,0.645638994448898,0.0127223567829215,0.0262687611685959
"119",0.05,18,0.01,1,2,1,200,0.826780717881186,0.637680066437269,0.0118775369072383,0.0244886715550283
"121",0.05,18,0.1,0.75,0,0.5,200,0.829621273389935,0.643303297369723,0.0136834193572368,0.0281421048258248
"123",0.05,18,0.1,0.75,0,1,200,0.826232480089895,0.636191394919873,0.0124487512812349,0.0261350895908157
"125",0.05,18,0.1,0.75,1,0.5,200,0.828354349767022,0.640955246363799,0.0140658547210734,0.0289755004909732
"127",0.05,18,0.1,0.75,1,1,200,0.828935756879976,0.642131244014702,0.0114168878998413,0.0235629090316427
"129",0.05,18,0.1,0.75,2,0.5,200,0.826916802456223,0.637695221025975,0.0131740173356281,0.0271563274305566
"131",0.05,18,0.1,0.75,2,1,200,0.828696195946192,0.641533727984336,0.0129215227003135,0.0267921659435705
"133",0.05,18,0.1,1,0,0.5,200,0.832597668562805,0.650114352698898,0.0124606431223833,0.0257621832634802
"135",0.05,18,0.1,1,0,1,200,0.824419602238195,0.632671459148821,0.0119573368585429,0.0249007845693193
"137",0.05,18,0.1,1,1,0.5,200,0.831503264784431,0.647712920341129,0.0128591916010442,0.02659954004132
"139",0.05,18,0.1,1,1,1,200,0.825376830940419,0.634664525662586,0.0131069698639903,0.0271574576581017
"141",0.05,18,0.1,1,2,0.5,200,0.830510021948369,0.645456978391608,0.0112268790505343,0.0234630953418409
"143",0.05,18,0.1,1,2,1,200,0.825787299036823,0.635603739477956,0.0123356541185262,0.0257252579998765
"289",0.3,18,0,0.75,0,0.5,200,0.825616674050249,0.63507177283232,0.0121804012085381,0.0252894903469914
